SR03A-PC-S2B-02:SETI,0,1
SR03A-PC-S2B-06:SETI,0,1
SR06A-PC-S2B-02:SETI,0,1
SR06A-PC-S2B-06:SETI,0,1
SR07A-PC-S2B-02:SETI,0,1
SR07A-PC-S2B-06:SETI,0,1
SR10A-PC-S2B-02:SETI,0,1
SR10A-PC-S2B-06:SETI,0,1
SR11A-PC-S2B-02:SETI,0,1
SR11A-PC-S2B-06:SETI,0,1
SR14A-PC-S2B-02:SETI,0,1
SR14A-PC-S2B-06:SETI,0,1
SR15A-PC-S2B-02:SETI,0,1
SR15A-PC-S2B-06:SETI,0,1
SR18A-PC-S2B-02:SETI,0,1
SR18A-PC-S2B-06:SETI,0,1
SR19A-PC-S2B-02:SETI,0,1
SR19A-PC-S2B-06:SETI,0,1
SR22A-PC-S2B-02:SETI,0,1
SR22A-PC-S2B-06:SETI,0,1
SR23A-PC-S2B-02:SETI,0,1
SR23A-PC-S2B-06:SETI,0,1
